UserID,SessionID,VisitDate,TrafficSource,DeviceType,Country,LandingPage,PagesViewed,SessionDuration,Bounce,ExitPage,Conversion
10025,S00026,2025-06-23,Organic,Tablet,Australia,Products,4,141,Yes,Home,No
10026,S00027,2025-11-20,Organic,Mobile,India,Home,2,1459,No,Home,No
10027,S00028,2025-05-23,Referral,Mobile,Australia,Products,9,497,No,Products,Yes
10028,S00029,2025-07-28,Direct,Mobile,India,Contact,13,978,No,Services,Yes
10029,S00030,2025-08-28,Organic,Tablet,Germany,Contact,7,851,Yes,Home,Yes
10030,S00031,2025-06-23,Organic,Mobile,USA,Products,7,1501,No,Products,Yes
10031,S00032,2025-05-23,Referral,Mobile,India,Blog,7,385,Yes,Home,Yes
10032,S00033,2025-01-08,Organic,Mobile,USA,Blog,11,1117,No,Blog,Yes
10033,S00034,2025-07-25,Organic,Mobile,Canada,Home,4,1780,No,Services,No
10034,S00035,2025-08-21,Social,Desktop,Germany,Contact,15,1615,No,Products,Yes
10035,S00036,2025-04-22,Organic,Tablet,Germany,Pricing,4,617,Yes,Contact,No
10036,S00037,2025-01-26,Email,Desktop,Australia,Checkout,6,127,Yes,Home,No
10037,S00038,2025-04-06,Organic,Tablet,India,Contact,9,174,Yes,Blog,No
10038,S00039,2025-05-07,Email,Tablet,India,Pricing,2,1176,Yes,Blog,No
10039,S00040,2025-10-17,Email,Desktop,UK,Products,11,1205,No,Products,Yes
10040,S00041,2025-03-09,Social,Desktop,UK,Checkout,5,820,Yes,Home,No
10041,S00042,2025-10-16,Organic,Mobile,Australia,Products,8,1282,No,Products,Yes
10042,S00043,2025-02-05,Direct,Desktop,UK,Products,15,724,No,Checkout,Yes
10043,S00044,2025-06-04,Email,Tablet,Australia,Home,9,1450,No,Contact,Yes
10044,S00045,2025-05-16,Organic,Mobile,Germany,Pricing,2,285,Yes,Services,No
10045,S00046,2025-04-18,Social,Mobile,Germany,Contact,5,1248,No,Pricing,No
10046,S00047,2025-01-27,Organic,Tablet,Canada,Checkout,8,524,No,Home,Yes
10047,S00048,2025-03-08,Social,Mobile,Germany,Blog,1,693,Yes,Pricing,No
10048,S00049,2025-10-15,Organic,Mobile,India,Contact,12,885,Yes,Pricing,Yes
10049,S00050,2025-07-09,Email,Tablet,USA,Blog,1,1719,Yes,Products,No
10050,S00051,2025-07-06,Organic,Desktop,USA,Contact,1,641,Yes,Products,No
10051,S00052,2025-07-01,Email,Desktop,Australia,Contact,11,220,Yes,Products,No
10052,S00053,2025-04-01,Referral,Mobile,USA,Contact,14,342,No,Checkout,Yes
10053,S00054,2025-12-09,Direct,Desktop,USA,Checkout,15,853,Yes,Blog,Yes
10054,S00055,2025-08-29,Direct,Mobile,Canada,Services,14,89,No,Checkout,No
10055,S00056,2025-04-27,Direct,Mobile,Germany,Products,13,1794,No,Services,Yes
10056,S00057,2025-02-05,Social,Desktop,Germany,Pricing,5,1780,No,Contact,No
10057,S00058,2025-06-19,Organic,Mobile,UK,Products,14,1108,No,Home,Yes
10058,S00059,2025-08-11,Social,Tablet,UK,Blog,2,1231,Yes,Blog,No
10059,S00060,2025-04-08,Social,Mobile,Germany,Blog,15,1190,Yes,Pricing,Yes
10060,S00061,2025-10-03,Direct,Desktop,Canada,Home,15,1661,No,Pricing,Yes
10061,S00062,2025-03-05,Social,Tablet,UK,Contact,6,1368,No,Services,Yes
10062,S00063,2025-06-01,Email,Mobile,USA,Blog,7,1437,No,Contact,Yes
10063,S00064,2025-11-12,Email,Desktop,Canada,Pricing,12,366,Yes,Services,Yes
10064,S00065,2025-08-09,Email,Tablet,Germany,Services,5,440,No,Blog,No
10065,S00066,2025-04-20,Email,Desktop,Germany,Products,8,1393,Yes,Services,Yes
10066,S00067,2025-11-21,Email,Desktop,India,Checkout,9,1369,Yes,Contact,Yes
10067,S00068,2025-04-12,Direct,Mobile,India,Products,5,470,No,Pricing,No
10068,S00069,2025-02-07,Referral,Desktop,Germany,Pricing,14,1583,Yes,Contact,Yes
10069,S00070,2025-09-11,Referral,Mobile,USA,Contact,12,796,Yes,Checkout,Yes
10070,S00071,2025-02-24,Referral,Mobile,USA,Checkout,14,1587,No,Home,Yes
10071,S00072,2025-03-04,Referral,Mobile,Canada,Contact,9,520,No,Checkout,Yes
10072,S00073,2025-11-10,Email,Desktop,Australia,Blog,15,916,Yes,Contact,Yes
10073,S00074,2025-08-19,Social,Mobile,Germany,Services,14,982,No,Contact,Yes
10074,S00075,2025-08-14,Organic,Tablet,UK,Products,4,572,No,Services,No
10075,S00076,2025-02-11,Direct,Mobile,USA,Blog,6,1116,Yes,Contact,Yes
10076,S00077,2025-08-01,Referral,Desktop,Australia,Blog,4,141,No,Home,No
10077,S00078,2025-08-04,Referral,Tablet,Germany,Home,4,1715,No,Blog,No
10078,S00079,2025-06-02,Referral,Desktop,Australia,Contact,1,730,Yes,Contact,No
10079,S00080,2025-11-05,Direct,Desktop,USA,Services,9,1648,No,Blog,Yes
10080,S00081,2025-06-22,Referral,Tablet,USA,Checkout,1,806,Yes,Blog,No
10081,S00082,2025-11-15,Email,Mobile,Canada,Pricing,15,271,Yes,Home,No
10082,S00083,2025-03-11,Referral,Mobile,India,Services,11,887,No,Services,Yes
10083,S00084,2025-06-17,Social,Desktop,UK,Checkout,4,941,No,Services,No
10084,S00085,2025-08-29,Organic,Tablet,Australia,Home,14,177,No,Products,No
10085,S00086,2025-11-30,Organic,Mobile,USA,Products,11,150,Yes,Pricing,No
10086,S00087,2025-03-06,Referral,Tablet,India,Pricing,3,498,Yes,Blog,No
10087,S00088,2025-07-08,Direct,Tablet,Australia,Contact,12,534,Yes,Checkout,Yes
10088,S00089,2025-06-09,Organic,Tablet,India,Services,14,345,No,Blog,Yes
10089,S00090,2025-02-08,Email,Tablet,Germany,Products,12,416,Yes,Contact,Yes
10090,S00091,2025-12-17,Email,Mobile,Australia,Checkout,13,627,Yes,Services,Yes
10091,S00092,2025-12-05,Social,Mobile,Australia,Contact,9,887,No,Home,Yes
10092,S00093,2025-09-08,Organic,Desktop,UK,Contact,14,870,No,Contact,Yes
10093,S00094,2025-04-01,Email,Tablet,UK,Pricing,3,901,No,Blog,No
10094,S00095,2025-10-31,Social,Desktop,USA,Checkout,7,1701,Yes,Services,Yes
10095,S00096,2025-05-05,Referral,Tablet,Australia,Contact,15,933,No,Services,Yes
10096,S00097,2025-06-16,Direct,Desktop,USA,Services,1,1022,Yes,Checkout,No
10097,S00098,2025-05-24,Email,Tablet,UK,Pricing,5,707,Yes,Pricing,No
10098,S00099,2025-05-04,Referral,Desktop,Australia,Checkout,4,185,Yes,Contact,No
10099,S00100,2025-12-31,Referral,Desktop,India,Home,8,1332,No,Products,Yes
10100,S00101,2025-05-05,Social,Tablet,Australia,Services,7,1426,No,Pricing,Yes
10101,S00102,2025-08-06,Email,Desktop,UK,Contact,9,714,No,Services,Yes
10102,S00103,2025-04-29,Organic,Tablet,USA,Services,5,524,Yes,Contact,No
10103,S00104,2025-12-20,Direct,Mobile,USA,Contact,9,1570,No,Services,Yes
10104,S00105,2025-09-26,Email,Desktop,India,Checkout,12,1217,Yes,Services,Yes
10105,S00106,2025-04-02,Social,Mobile,Germany,Pricing,4,749,Yes,Services,No
10106,S00107,2025-10-11,Social,Tablet,USA,Contact,1,121,Yes,Checkout,No
10107,S00108,2025-02-22,Organic,Tablet,UK,Blog,13,1015,No,Blog,Yes
10108,S00109,2025-01-27,Social,Desktop,India,Checkout,6,387,Yes,Blog,Yes
10109,S00110,2025-10-23,Organic,Mobile,USA,Checkout,8,161,No,Home,No
10110,S00111,2025-10-13,Referral,Tablet,Australia,Checkout,4,252,Yes,Checkout,No
10111,S00112,2025-08-19,Referral,Desktop,Australia,Blog,9,789,No,Pricing,Yes
10112,S00113,2025-11-09,Organic,Mobile,Germany,Products,10,133,No,Contact,No
10113,S00114,2025-05-03,Direct,Tablet,India,Products,2,331,Yes,Blog,No
10114,S00115,2025-11-01,Referral,Desktop,India,Products,8,1421,No,Contact,Yes
10115,S00116,2025-08-21,Organic,Tablet,USA,Services,5,1449,Yes,Blog,No
10116,S00117,2025-04-26,Direct,Desktop,USA,Home,2,1125,Yes,Products,No
10117,S00118,2025-11-01,Email,Desktop,Canada,Home,13,639,No,Contact,Yes
10118,S00119,2025-07-26,Social,Tablet,Australia,Blog,5,1443,No,Home,No
10119,S00120,2025-08-10,Social,Tablet,UK,Home,10,91,Yes,Products,No
10120,S00121,2025-10-22,Email,Mobile,Germany,Checkout,11,1722,No,Pricing,Yes
10121,S00122,2025-03-31,Referral,Tablet,Germany,Blog,1,1572,Yes,Services,No
10122,S00123,2025-08-12,Referral,Mobile,Canada,Services,3,1208,No,Services,No
10123,S00124,2025-02-23,Direct,Desktop,Canada,Contact,6,1382,No,Services,Yes
10124,S00125,2025-10-09,Organic,Desktop,India,Services,11,830,No,Services,Yes
10125,S00126,2025-07-26,Email,Mobile,Germany,Checkout,2,1592,No,Blog,No
10126,S00127,2025-09-23,Social,Tablet,Canada,Contact,1,394,Yes,Blog,No
10127,S00128,2025-04-15,Social,Tablet,USA,Services,13,115,No,Contact,No
10128,S00129,2025-01-15,Email,Mobile,Germany,Products,8,258,No,Pricing,No
10129,S00130,2025-07-28,Organic,Mobile,India,Blog,1,1141,Yes,Home,No
10130,S00131,2025-03-20,Referral,Tablet,UK,Pricing,11,1714,No,Blog,Yes
10131,S00132,2025-08-30,Direct,Desktop,Australia,Products,14,998,No,Products,Yes
10132,S00133,2025-09-18,Direct,Mobile,UK,Checkout,15,1237,No,Services,Yes
10133,S00134,2025-09-17,Social,Mobile,UK,Contact,15,1623,No,Checkout,Yes
10134,S00135,2025-12-04,Referral,Mobile,Canada,Pricing,10,1197,No,Services,Yes
10135,S00136,2025-10-06,Referral,Desktop,UK,Checkout,6,1140,Yes,Contact,Yes
10136,S00137,2025-07-16,Direct,Desktop,India,Services,4,1181,No,Contact,No
10137,S00138,2025-07-15,Referral,Tablet,Germany,Products,15,1671,No,Home,Yes
10138,S00139,2025-10-30,Social,Mobile,Canada,Home,3,1038,No,Home,No
10139,S00140,2025-07-29,Direct,Mobile,Canada,Checkout,12,305,No,Services,Yes
10140,S00141,2025-07-23,Organic,Desktop,Germany,Checkout,10,1428,No,Services,Yes
10141,S00142,2025-09-07,Email,Mobile,Australia,Home,11,1481,Yes,Contact,Yes
10142,S00143,2025-04-27,Organic,Desktop,India,Checkout,11,598,Yes,Blog,Yes
10143,S00144,2025-06-03,Organic,Mobile,UK,Checkout,3,1431,Yes,Services,No
10144,S00145,2025-08-09,Direct,Mobile,Australia,Blog,6,777,Yes,Products,Yes
10145,S00146,2025-11-09,Referral,Tablet,Germany,Products,3,171,No,Pricing,No
10146,S00147,2025-08-25,Social,Desktop,UK,Contact,3,485,Yes,Checkout,No
10147,S00148,2025-12-13,Email,Mobile,India,Blog,8,599,No,Pricing,Yes
10148,S00149,2025-08-06,Social,Desktop,UK,Products,5,1318,No,Checkout,No
10149,S00150,2025-05-02,Referral,Tablet,UK,Pricing,8,228,No,Contact,No
10150,S00151,2025-12-04,Referral,Desktop,India,Pricing,5,54,Yes,Pricing,No
10151,S00152,2025-05-27,Direct,Tablet,UK,Products,12,1027,Yes,Pricing,Yes
10152,S00153,2025-12-04,Direct,Tablet,India,Contact,5,1398,Yes,Services,No
10153,S00154,2025-01-18,Email,Desktop,Germany,Products,13,912,Yes,Services,Yes
10154,S00155,2025-08-01,Direct,Mobile,USA,Checkout,6,1540,No,Pricing,Yes
10155,S00156,2025-03-26,Social,Desktop,UK,Contact,9,568,No,Checkout,Yes
10156,S00157,2025-02-08,Direct,Mobile,Germany,Contact,2,969,No,Checkout,No
10157,S00158,2025-07-07,Organic,Desktop,India,Services,13,1151,Yes,Blog,Yes
10158,S00159,2025-12-11,Social,Tablet,Canada,Checkout,6,1387,No,Home,Yes
10159,S00160,2025-08-30,Organic,Tablet,Australia,Services,11,488,Yes,Contact,Yes
10160,S00161,2025-08-26,Social,Tablet,Canada,Home,2,1311,Yes,Home,No
10161,S00162,2025-09-10,Organic,Mobile,USA,Pricing,1,633,Yes,Products,No
10162,S00163,2025-07-09,Email,Desktop,Australia,Contact,7,939,Yes,Blog,Yes
10163,S00164,2025-09-08,Email,Desktop,UK,Home,11,212,No,Products,No
10164,S00165,2025-05-01,Social,Mobile,Germany,Services,8,920,No,Home,Yes
10165,S00166,2025-04-08,Organic,Desktop,India,Contact,7,575,Yes,Contact,Yes
10166,S00167,2025-01-11,Organic,Desktop,USA,Products,11,1232,Yes,Home,Yes
10167,S00168,2025-10-11,Direct,Tablet,USA,Checkout,14,1577,Yes,Services,Yes
10168,S00169,2025-11-02,Organic,Desktop,USA,Products,13,312,No,Checkout,Yes
10169,S00170,2025-12-05,Organic,Mobile,India,Services,3,235,Yes,Pricing,No
10170,S00171,2025-03-31,Social,Mobile,USA,Contact,6,42,No,Pricing,No
10171,S00172,2025-02-02,Referral,Desktop,UK,Pricing,2,1537,Yes,Blog,No
10172,S00173,2025-11-11,Organic,Tablet,Germany,Pricing,9,463,No,Blog,Yes
10173,S00174,2025-02-01,Referral,Desktop,Canada,Contact,11,73,Yes,Blog,No
10174,S00175,2025-02-07,Organic,Desktop,Australia,Products,12,918,Yes,Products,Yes
10175,S00176,2025-11-21,Email,Tablet,Germany,Services,5,1288,No,Pricing,No
10176,S00177,2025-08-21,Email,Tablet,Canada,Home,9,613,Yes,Checkout,Yes
10177,S00178,2025-10-10,Direct,Desktop,Canada,Products,11,1343,No,Services,Yes
10178,S00179,2025-07-24,Referral,Tablet,India,Services,14,938,No,Services,Yes
10179,S00180,2025-07-11,Direct,Tablet,Canada,Home,11,532,Yes,Checkout,Yes
10180,S00181,2025-08-10,Organic,Tablet,Germany,Services,2,200,Yes,Pricing,No
10181,S00182,2025-10-15,Email,Desktop,Germany,Home,1,1211,Yes,Blog,No
10182,S00183,2025-12-07,Referral,Tablet,India,Services,6,1799,No,Services,Yes
10183,S00184,2025-09-17,Direct,Mobile,Germany,Blog,2,1193,Yes,Checkout,No
10184,S00185,2025-10-12,Social,Mobile,UK,Pricing,2,727,Yes,Checkout,No
10185,S00186,2025-10-15,Email,Tablet,Germany,Contact,7,1740,Yes,Pricing,Yes
10186,S00187,2025-12-22,Social,Mobile,USA,Services,15,1357,No,Services,Yes
10187,S00188,2025-04-03,Direct,Tablet,Germany,Blog,6,22,Yes,Products,No
10188,S00189,2025-01-16,Organic,Tablet,Australia,Products,12,1306,No,Blog,Yes
10189,S00190,2025-03-22,Social,Desktop,Germany,Services,8,708,Yes,Home,Yes
10190,S00191,2025-11-13,Organic,Tablet,India,Services,3,332,No,Contact,No
10191,S00192,2025-11-07,Referral,Desktop,UK,Products,7,1004,Yes,Services,Yes
10192,S00193,2025-05-26,Email,Desktop,Australia,Contact,7,237,No,Home,No
10193,S00194,2025-11-03,Organic,Mobile,USA,Services,4,819,Yes,Checkout,No
10194,S00195,2025-05-11,Social,Desktop,India,Home,3,1575,No,Contact,No
10195,S00196,2025-03-08,Referral,Tablet,Germany,Products,7,369,No,Home,Yes
10196,S00197,2025-01-22,Referral,Mobile,Canada,Home,7,1774,No,Pricing,Yes
10197,S00198,2025-07-27,Referral,Desktop,India,Blog,7,1184,Yes,Services,Yes
10198,S00199,2025-11-13,Referral,Tablet,UK,Home,3,1651,No,Checkout,No
10199,S00200,2025-08-12,Email,Desktop,Australia,Home,2,508,No,Checkout,No
10200,S00201,2025-06-23,Direct,Desktop,USA,Home,5,1537,Yes,Pricing,No
10201,S00202,2025-06-28,Social,Tablet,Germany,Checkout,9,407,Yes,Products,Yes
10202,S00203,2025-05-12,Direct,Mobile,Australia,Products,2,309,Yes,Products,No
10203,S00204,2025-09-10,Referral,Tablet,Australia,Blog,13,1296,No,Checkout,Yes
10204,S00205,2025-03-19,Referral,Mobile,Canada,Blog,11,657,No,Checkout,Yes
10205,S00206,2025-01-29,Social,Tablet,India,Services,5,1221,No,Blog,No
10206,S00207,2025-07-08,Social,Mobile,Germany,Checkout,1,126,Yes,Checkout,No
10207,S00208,2025-11-01,Email,Desktop,Canada,Pricing,2,1269,Yes,Blog,No
10208,S00209,2025-10-20,Direct,Desktop,Australia,Blog,15,1668,Yes,Home,Yes
10209,S00210,2025-06-25,Organic,Tablet,Germany,Products,8,221,Yes,Products,No
10210,S00211,2025-08-13,Email,Tablet,Australia,Products,12,906,No,Services,Yes
10211,S00212,2025-07-18,Referral,Desktop,Germany,Pricing,15,589,Yes,Checkout,Yes
10212,S00213,2025-06-21,Organic,Desktop,India,Pricing,11,1335,No,Services,Yes
10213,S00214,2025-12-03,Email,Mobile,UK,Home,5,1492,Yes,Services,No
10214,S00215,2025-12-24,Referral,Mobile,Australia,Contact,5,1353,Yes,Services,No
10215,S00216,2025-11-26,Social,Mobile,Germany,Contact,9,781,Yes,Contact,Yes
10216,S00217,2025-09-18,Social,Mobile,UK,Services,11,877,Yes,Products,Yes
10217,S00218,2025-09-06,Direct,Mobile,USA,Products,6,1579,Yes,Services,Yes
10218,S00219,2025-02-21,Email,Tablet,Germany,Pricing,14,1624,Yes,Contact,Yes
10219,S00220,2025-11-13,Direct,Tablet,Canada,Products,6,1579,Yes,Products,Yes
10220,S00221,2025-11-16,Direct,Tablet,Canada,Home,14,1428,No,Services,Yes
10221,S00222,2025-05-02,Referral,Tablet,UK,Checkout,11,1483,No,Products,Yes
10222,S00223,2025-06-08,Referral,Mobile,UK,Contact,9,499,No,Blog,Yes
10223,S00224,2025-07-15,Email,Tablet,Canada,Products,13,587,Yes,Checkout,Yes
10224,S00225,2025-05-09,Organic,Tablet,Canada,Checkout,10,293,No,Pricing,No
10225,S00226,2025-12-31,Email,Mobile,UK,Home,15,220,Yes,Services,No
10226,S00227,2025-03-17,Referral,Mobile,USA,Checkout,8,1061,No,Services,Yes
10227,S00228,2025-08-01,Organic,Desktop,Australia,Services,15,64,Yes,Blog,No
10228,S00229,2025-04-25,Organic,Desktop,India,Checkout,2,777,No,Checkout,No
10229,S00230,2025-01-20,Social,Desktop,Germany,Checkout,3,291,Yes,Checkout,No
10230,S00231,2025-08-18,Email,Mobile,India,Home,12,970,No,Products,Yes
10231,S00232,2025-10-08,Email,Tablet,Canada,Home,14,316,No,Products,Yes
10232,S00233,2025-01-25,Direct,Desktop,Germany,Checkout,5,259,No,Home,No
10233,S00234,2025-09-13,Email,Tablet,India,Contact,2,1723,Yes,Contact,No
10234,S00235,2025-08-08,Organic,Tablet,UK,Products,3,606,No,Products,No
10235,S00236,2025-02-13,Email,Desktop,India,Pricing,11,1378,Yes,Blog,Yes
10236,S00237,2025-01-23,Referral,Desktop,UK,Contact,14,972,Yes,Services,Yes
10237,S00238,2025-06-26,Direct,Tablet,Germany,Contact,13,148,Yes,Checkout,No
10238,S00239,2025-06-20,Direct,Mobile,UK,Pricing,10,1515,No,Checkout,Yes
10239,S00240,2025-12-17,Referral,Tablet,Canada,Contact,11,368,Yes,Checkout,Yes
10240,S00241,2025-08-23,Organic,Desktop,USA,Home,3,139,Yes,Home,No
10241,S00242,2025-09-21,Referral,Tablet,Canada,Services,6,645,Yes,Checkout,Yes
10242,S00243,2025-05-27,Social,Mobile,Germany,Services,11,401,No,Home,Yes
10243,S00244,2025-08-12,Referral,Tablet,Canada,Blog,13,763,No,Products,Yes
10244,S00245,2025-09-12,Social,Tablet,UK,Checkout,8,1427,Yes,Contact,Yes
10245,S00246,2025-08-09,Email,Mobile,Australia,Services,7,171,No,Home,No
10246,S00247,2025-12-05,Social,Desktop,Canada,Pricing,2,681,No,Products,No
10247,S00248,2025-06-29,Referral,Mobile,Germany,Checkout,12,919,No,Pricing,Yes
10248,S00249,2025-11-24,Organic,Mobile,Germany,Contact,7,572,No,Services,Yes
10249,S00250,2025-12-14,Direct,Mobile,USA,Checkout,9,1650,No,Home,Yes
10250,S00251,2025-05-01,Social,Desktop,Canada,Pricing,3,147,Yes,Pricing,No
10251,S00252,2025-08-19,Social,Desktop,Canada,Checkout,3,1400,Yes,Pricing,No
10252,S00253,2025-07-07,Referral,Desktop,Germany,Services,3,1094,Yes,Home,No
10253,S00254,2025-04-06,Referral,Tablet,Canada,Pricing,1,1516,Yes,Home,No
10254,S00255,2025-05-14,Referral,Mobile,Australia,Services,5,1597,No,Products,No
10255,S00256,2025-02-07,Referral,Mobile,Germany,Blog,2,287,Yes,Checkout,No
10256,S00257,2025-06-13,Social,Tablet,India,Pricing,11,1741,No,Services,Yes
10257,S00258,2025-12-31,Direct,Desktop,Australia,Products,14,332,Yes,Products,Yes
10258,S00259,2025-05-02,Referral,Mobile,UK,Pricing,13,294,No,Blog,No
10259,S00260,2025-03-08,Email,Mobile,India,Services,13,1139,No,Contact,Yes
10260,S00261,2025-09-27,Referral,Desktop,Australia,Home,12,990,Yes,Services,Yes
10261,S00262,2025-08-19,Referral,Tablet,Australia,Services,11,161,Yes,Checkout,No
10262,S00263,2025-11-24,Email,Mobile,USA,Blog,13,1139,Yes,Checkout,Yes
10263,S00264,2025-03-20,Social,Mobile,USA,Services,2,1071,Yes,Services,No
10264,S00265,2025-02-10,Social,Mobile,Germany,Pricing,9,591,No,Products,Yes
10265,S00266,2025-11-11,Email,Mobile,Australia,Contact,11,630,Yes,Pricing,Yes
10266,S00267,2025-03-29,Email,Tablet,Australia,Services,10,325,Yes,Checkout,Yes
10267,S00268,2025-02-11,Organic,Tablet,Australia,Services,14,68,Yes,Checkout,No
10268,S00269,2025-11-13,Organic,Desktop,Germany,Pricing,10,863,No,Contact,Yes
10269,S00270,2025-05-06,Referral,Desktop,Canada,Home,5,999,Yes,Products,No
10270,S00271,2025-09-05,Referral,Mobile,UK,Pricing,8,861,Yes,Services,Yes
10271,S00272,2025-06-13,Social,Desktop,USA,Checkout,14,1481,No,Pricing,Yes
10272,S00273,2025-06-13,Direct,Desktop,India,Services,9,227,No,Products,No
10273,S00274,2025-01-26,Social,Desktop,Australia,Blog,3,208,Yes,Checkout,No
10274,S00275,2025-06-17,Email,Tablet,UK,Products,15,337,Yes,Blog,Yes
10275,S00276,2025-09-13,Social,Desktop,India,Home,9,966,No,Pricing,Yes
10276,S00277,2025-04-21,Email,Desktop,India,Home,8,503,No,Blog,Yes
10277,S00278,2025-12-01,Referral,Desktop,Australia,Home,10,1736,Yes,Blog,Yes
10278,S00279,2025-07-07,Referral,Desktop,India,Blog,3,551,Yes,Pricing,No
10279,S00280,2025-07-05,Email,Desktop,India,Blog,9,408,No,Checkout,Yes
10280,S00281,2025-11-16,Email,Mobile,USA,Home,9,582,No,Services,Yes
10281,S00282,2025-10-13,Social,Mobile,USA,Pricing,13,704,No,Pricing,Yes
10282,S00283,2025-01-20,Direct,Tablet,UK,Checkout,1,102,Yes,Blog,No
10283,S00284,2025-03-18,Email,Tablet,USA,Services,9,945,No,Products,Yes
10284,S00285,2025-06-03,Email,Desktop,Australia,Checkout,7,1272,No,Contact,Yes
10285,S00286,2025-09-01,Organic,Desktop,UK,Contact,10,623,Yes,Blog,Yes
10286,S00287,2025-12-19,Organic,Tablet,Canada,Services,10,640,Yes,Contact,Yes
10287,S00288,2025-09-03,Direct,Tablet,Germany,Contact,1,1205,Yes,Pricing,No
10288,S00289,2025-07-14,Direct,Tablet,USA,Home,13,1732,Yes,Products,Yes
10289,S00290,2025-06-10,Referral,Mobile,Canada,Contact,1,913,Yes,Products,No
10290,S00291,2025-11-10,Referral,Tablet,Germany,Home,7,1037,Yes,Pricing,Yes
10291,S00292,2025-06-16,Referral,Tablet,Canada,Services,4,1158,Yes,Blog,No
10292,S00293,2025-06-25,Email,Desktop,Germany,Checkout,15,1101,No,Pricing,Yes
10293,S00294,2025-05-07,Social,Tablet,UK,Products,8,403,No,Checkout,Yes
10294,S00295,2025-04-17,Referral,Desktop,Canada,Services,5,1453,No,Services,No
10295,S00296,2025-12-13,Email,Desktop,Canada,Checkout,2,1184,No,Checkout,No
10296,S00297,2025-05-29,Organic,Desktop,Germany,Home,13,309,No,Blog,Yes
10297,S00298,2025-09-03,Direct,Mobile,Australia,Services,11,535,No,Products,Yes
10298,S00299,2025-10-28,Direct,Mobile,India,Contact,2,1270,Yes,Contact,No
10299,S00300,2025-02-21,Referral,Desktop,Germany,Blog,4,117,Yes,Contact,No
10300,S00301,2025-01-03,Email,Mobile,Canada,Contact,13,291,No,Blog,No
10301,S00302,2025-05-28,Social,Desktop,Germany,Home,11,418,Yes,Contact,Yes
10302,S00303,2025-10-01,Organic,Mobile,Canada,Checkout,10,485,Yes,Home,Yes
10303,S00304,2025-09-11,Direct,Tablet,UK,Home,14,823,Yes,Services,Yes
10304,S00305,2025-02-24,Social,Desktop,Canada,Contact,10,1244,No,Products,Yes
10305,S00306,2025-08-28,Social,Mobile,India,Services,14,1042,Yes,Contact,Yes
10306,S00307,2025-05-12,Direct,Mobile,Germany,Services,8,1337,No,Pricing,Yes
10307,S00308,2025-04-09,Direct,Tablet,Germany,Blog,11,1560,No,Pricing,Yes
10308,S00309,2025-07-25,Organic,Mobile,USA,Blog,6,187,No,Products,No
10309,S00310,2025-07-16,Direct,Desktop,UK,Services,1,544,Yes,Services,No
10310,S00311,2025-10-21,Organic,Desktop,Germany,Services,10,1490,Yes,Home,Yes
10311,S00312,2025-08-27,Social,Mobile,Canada,Contact,11,252,No,Contact,No
10312,S00313,2025-06-01,Social,Tablet,USA,Products,2,1318,Yes,Blog,No
